Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(AUD),Min(pips),Min(AUD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(AUD)
10/20/2023 14:38,10/20/2023 16:45,XAUUSD,Buy,0.030,1970.31000,1994.31000,1982.30000,1981.37000,-93.0,-0.21,00:02:07:33,0.0,0s,874.0,909.09,0.0,,-874.0,,0.0,89.4,-93.00,
10/19/2023 20:00,10/20/2023 02:58,EURUSD,Buy,0.030,1.04766,1.07166,1.05974,1.05855,-11.9,-0.29,00:06:58:57,10.1,42m,28.7,2.63,7.9,,-20.8,,27.5,31.0,-19.80,
10/19/2023 20:00,10/20/2023 02:50,EURJPY,Buy,0.040,157.47400,159.87400,158.67900,158.56100,-11.8,-0.23,00:06:50:20,16.6,1h 8m,58.5,4.63,10.4,,-48.1,,17.8,62.1,-22.20,
10/19/2023 09:39,10/19/2023 15:24,AUDUSD,Sell,0.030,0.64292,0.61892,0.63091,0.63200,-10.9,-0.25,00:05:44:45,60.6,3h 28m,22.3,0.96,11.4,,-10.9,,51.1,0.0,-22.30,
10/19/2023 09:18,10/19/2023 13:05,EURUSD,Sell,0.030,1.06587,1.04187,1.05387,1.05462,-7.5,-0.17,00:03:46:25,37.1,1h 24m,15.7,1.05,8.2,,-8.6,,48.8,6.5,-15.70,
10/19/2023 09:26,10/19/2023 12:24,GBPUSD,Sell,0.030,1.22500,1.20100,1.21300,1.20977,32.3,0.71,00:02:57:24,63.5,1h 52m,18.7,0.41,33.3,,-13.8,,70.7,97.9,-1.00,
10/19/2023 08:12,10/19/2023 08:57,AUDUSD,Sell,0.030,0.64245,0.61845,0.63044,0.62972,7.2,0.15,00:00:44:22,100.0,44m,2.7,0.14,7.2,,0.0,,100.0,100.0,0.00,
10/19/2023 03:10,10/19/2023 03:23,AUDUSD,Sell,0.030,0.64560,0.62160,0.63360,0.63275,8.5,0.18,00:00:13:52,100.0,13m,1.6,0.11,8.9,,0.0,,100.0,95.5,-0.40,
10/18/2023 12:51,10/18/2023 15:15,EURJPY,Buy,0.040,157.07300,159.47300,158.27300,158.17600,-9.7,-0.20,00:02:24:13,2.8,4m,34.8,12.94,2.5,,-32.3,,7.2,64.9,-12.20,
10/16/2023 22:01,10/17/2023 03:35,GBPUSD,Buy,0.030,1.20896,1.23296,1.22096,1.22156,6.0,0.12,00:05:33:48,93.5,5h 12m,19.9,1.05,9.7,,-10.2,,48.7,81.4,-3.70,
10/17/2023 00:47,10/17/2023 03:07,AUDUSD,Buy,0.030,0.62219,0.64619,0.63419,0.63422,0.3,0.00,00:02:19:12,1.5,2m,6.9,9.86,0.7,,-6.9,,9.2,94.7,-0.40,
10/13/2023 16:00,10/13/2023 17:47,XAUUSD,Buy,0.030,1901.48000,1925.48000,1913.22000,1916.72000,350.0,0.78,00:01:47:46,28.1,30m,741.0,2.12,350.0,,-741.0,,32.1,100.0,0.00,
10/13/2023 15:30,10/13/2023 17:40,AUDUSD,Sell,0.030,0.64441,0.62041,0.63244,0.63041,20.3,0.45,00:02:10:00,72.4,1h 34m,9.3,0.20,20.3,,-4.0,,83.5,100.0,0.00,
10/13/2023 15:36,10/13/2023 16:11,EURUSD,Sell,0.030,1.06640,1.04240,1.05443,1.05293,15.0,0.33,00:00:34:19,100.0,34m,4.8,0.07,15.2,,0.0,,100.0,98.7,-0.20,
10/13/2023 15:00,10/13/2023 15:23,XAUUSD,Buy,0.030,1884.96000,1908.96000,1896.86000,1900.22000,336.0,0.76,00:00:23:41,100.0,23m,205.0,0.00,343.0,,0.0,,100.0,98.0,-7.00,
10/13/2023 10:00,10/13/2023 12:08,GBPUSD,Sell,0.030,1.23078,1.20678,1.21880,1.22050,-17.0,-0.39,00:02:08:14,1.6,2m,36.8,32.47,1.1,,-35.7,,3.0,50.8,-18.10,
10/13/2023 10:00,10/13/2023 12:08,EURUSD,Sell,0.030,1.06564,1.04164,1.05361,1.05505,-14.4,-0.33,00:02:07:59,6.3,8m,25.8,5.00,4.3,,-21.5,,16.7,27.5,-18.70,
10/13/2023 08:00,10/13/2023 09:18,AUDUSD,Sell,0.030,0.64364,0.61964,0.63163,0.63135,2.8,0.06,00:01:18:30,14.0,10m,5.2,1.63,3.2,,-5.2,,38.1,95.2,-0.40,
10/13/2023 02:17,10/13/2023 09:13,EURUSD,Sell,0.030,1.06536,1.04136,1.05336,1.05407,-7.1,-0.17,00:06:55:33,0.8,3m,17.6,57.80,0.3,,-17.3,,1.7,58.0,-7.40,
10/12/2023 17:00,10/13/2023 09:00,GBPUSD,Sell,0.030,1.23524,1.21124,1.22322,1.22048,27.4,0.61,00:15:59:59,97.2,15h 33m,34.9,0.27,59.6,,-15.8,,79.0,57.3,-32.20,
10/13/2023 00:46,10/13/2023 07:55,AUDUSD,Sell,0.030,0.64342,0.61942,0.63142,0.63204,-6.2,-0.15,00:07:08:48,1.9,8m,17.2,20.53,0.8,,-16.4,,4.7,59.3,-7.00,
10/12/2023 16:00,10/12/2023 20:03,AUDUSD,Sell,0.030,0.65036,0.62636,0.63836,0.63230,60.6,1.38,00:04:03:11,98.0,3h 58m,11.2,0.04,61.4,,-2.3,,96.4,98.7,-0.80,
10/11/2023 15:30,10/11/2023 22:04,XAUUSD,Buy,0.030,1857.49000,1881.49000,1869.72000,1873.51000,379.0,0.86,00:06:34:13,96.8,6h 21m,631.0,0.16,747.0,,-119.0,,86.3,57.5,-368.00,
10/11/2023 10:52,10/11/2023 14:06,EURJPY,Buy,0.040,156.53000,158.93000,157.72900,157.69300,-3.6,-0.08,00:03:13:39,20.2,39m,22.5,1.20,11.2,,-13.4,,45.5,39.8,-14.80,
10/10/2023 00:55,10/10/2023 01:32,AUDUSD,Buy,0.030,0.62906,0.65306,0.64127,0.64135,0.8,0.01,00:00:36:27,8.2,2m,4.4,5.50,0.8,,-4.4,,15.4,100.0,0.00,
10/09/2023 19:08,10/09/2023 22:30,XAUUSD,Buy,0.030,1838.36000,1862.36000,1850.36000,1862.38000,1202.0,2.81,00:03:21:17,71.3,2h 23m,139.0,0.12,1202.0,,-139.0,,89.6,100.0,0.00,
10/06/2023 15:30,10/06/2023 15:34,GBPUSD,Buy,0.030,1.20623,1.23023,1.21827,1.21372,-45.5,-1.08,00:00:03:54,,,,,,,,,,,,
10/06/2023 09:27,10/06/2023 10:10,GBPUSD,Buy,0.030,1.20451,1.22851,1.21651,1.21811,16.0,0.37,00:00:43:22,100.0,43m,4.3,0.06,16.1,,0.0,,100.0,99.4,-0.10,
10/05/2023 09:06,10/06/2023 05:55,GBPUSD,Buy,0.030,1.20281,1.22681,1.21482,1.21890,40.8,0.95,00:20:48:18,66.0,13h 43m,42.5,0.80,46.4,,-37.2,,55.5,93.3,-5.60,
10/05/2023 08:03,10/05/2023 13:34,AUDUSD,Buy,0.030,0.62490,0.64890,0.63690,0.63429,-26.1,-0.62,00:05:30:32,5.2,17m,39.5,22.27,1.7,,-37.8,,4.3,29.6,-27.80,
10/04/2023 17:12,10/05/2023 04:12,EURJPY,Buy,0.040,155.16700,157.56700,156.37000,156.16600,-20.4,-0.37,00:11:00:14,90.7,9h 58m,57.4,0.55,37.0,,-20.4,,64.5,0.0,-57.40,
10/03/2023 15:19,10/03/2023 17:00,AUDUSD,Sell,0.030,0.64279,0.61879,0.63079,0.62945,13.4,0.31,00:01:41:11,74.3,1h 15m,16.6,0.69,13.7,,-9.4,,59.3,98.7,-0.30,
10/03/2023 09:12,10/03/2023 14:06,XAUUSD,Sell,0.030,1834.26000,1810.26000,1822.26000,1824.79000,-253.0,-0.61,00:04:53:48,12.0,35m,811.0,4.10,159.0,,-652.0,,19.6,49.2,-412.00,
10/03/2023 10:59,10/03/2023 13:30,EURJPY,Sell,0.040,158.22100,155.82100,157.02100,157.04700,-2.6,-0.07,00:02:31:49,4.7,7m,23.9,3.12,5.8,,-18.1,,24.3,64.9,-8.40,
10/03/2023 09:15,10/03/2023 13:28,EURUSD,Sell,0.030,1.05899,1.03499,1.04695,1.04796,-10.1,-0.25,00:04:12:18,11.1,28m,27.1,5.61,4.1,,-23.0,,15.1,47.6,-14.20,
10/03/2023 08:00,10/03/2023 13:00,GBPUSD,Sell,0.030,1.21834,1.19434,1.20633,1.20769,-13.6,-0.33,00:05:00:32,4.4,13m,34.2,17.01,1.9,,-32.3,,5.6,54.7,-15.50,
10/03/2023 11:03,10/03/2023 12:07,AUDUSD,Sell,0.030,0.64431,0.62031,0.63231,0.63160,7.1,0.16,00:01:04:44,39.1,25m,8.4,1.09,7.7,,-8.4,,47.8,96.3,-0.60,
10/03/2023 05:00,10/03/2023 07:17,AUDUSD,Sell,0.030,0.64694,0.62294,0.63489,0.63292,19.7,0.45,00:02:17:26,94.9,2h 10m,11.9,0.06,24.1,,-1.5,,94.1,82.8,-4.40,
10/03/2023 01:00,10/03/2023 03:09,EURUSD,Sell,0.030,1.05997,1.03597,1.04797,1.04713,8.4,0.19,00:02:09:51,59.7,1h 17m,6.9,0.24,13.6,,-3.2,,81.0,69.0,-5.20,
10/03/2023 01:26,10/03/2023 03:09,EURJPY,Sell,0.040,158.26400,155.86400,157.06300,156.93700,12.6,0.25,00:01:43:34,97.1,1h 40m,9.5,0.07,22.0,,-1.6,,93.2,60.2,-9.40,
10/03/2023 00:18,10/03/2023 02:23,AUDUSD,Sell,0.030,0.64846,0.62446,0.63646,0.63575,7.1,0.16,00:02:04:43,75.3,1h 33m,2.9,0.14,7.1,,-1.0,,87.7,100.0,0.00,
09/29/2023 14:12,09/29/2023 19:00,AUDUSD,Buy,0.030,0.63704,0.66104,0.64904,0.64486,-41.8,-0.97,00:04:47:05,9.1,26m,49.6,9.78,4.6,,-45.0,,9.3,6.5,-46.40,
09/29/2023 14:37,09/29/2023 16:50,EURUSD,Buy,0.030,1.04703,1.07103,1.05903,1.05759,-14.4,-0.34,00:02:13:03,78.2,1h 44m,33.3,0.76,18.9,,-14.4,,56.8,0.0,-33.30,
09/29/2023 10:00,09/29/2023 14:37,EURUSD,Buy,0.030,1.04703,1.07103,1.05903,1.05902,-0.1,-0.01,00:04:37:32,99.7,4h 36m,25.9,0.00,25.8,,-0.1,,99.6,0.0,-25.90,
09/29/2023 11:06,09/29/2023 12:29,GBPUSD,Buy,0.030,1.21140,1.23540,1.22341,1.22497,15.6,0.35,00:01:22:54,80.8,1h 6m,13.0,0.30,15.6,,-4.7,,76.8,100.0,0.00,
09/29/2023 08:33,09/29/2023 10:57,EURJPY,Buy,0.040,156.76200,159.16200,157.96100,157.80400,-15.7,-0.33,00:02:23:22,0.0,0s,47.3,47.39,0.0,,-47.3,,0.0,66.8,-15.70,
09/28/2023 20:58,09/29/2023 04:16,AUDUSD,Buy,0.030,0.62980,0.65380,0.64182,0.64327,14.5,0.32,00:07:18:04,95.7,6h 59m,22.6,0.78,15.0,,-11.7,,56.2,98.1,-0.50,
09/28/2023 15:30,09/28/2023 15:45,XAUUSD,Sell,0.030,1890.10000,1866.10000,1878.05000,1873.19000,486.0,1.13,00:00:14:52,73.4,10m,135.0,0.17,556.0,,-95.0,,85.4,89.2,-70.00,
